[2023-11-28 02:38:13] Epoch 386/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.694427
[2023-11-28 02:39:01] Epoch 387/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.418343
[2023-11-28 02:39:48] Epoch 388/500 | Discriminator Loss: 0.000001 | Generator Loss: 53.149147
[2023-11-28 02:40:36] Epoch 389/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.880379
[2023-11-28 02:41:23] Epoch 390/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.486717
[2023-11-28 02:42:11] Epoch 391/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.760597
[2023-11-28 02:42:59] Epoch 392/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.122631
[2023-11-28 02:43:47] Epoch 393/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.408661
[2023-11-28 02:44:34] Epoch 394/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.478035
[2023-11-28 02:45:23] Epoch 395/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.967968
[2023-11-28 02:46:10] Epoch 396/500 | Discriminator Loss: 0.000000 | Generator Loss: 46.631851
[2023-11-28 02:46:58] Epoch 397/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.745407
[2023-11-28 02:47:46] Epoch 398/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.560921
[2023-11-28 02:48:33] Epoch 399/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.495220
[2023-11-28 02:49:21] Epoch 400/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.562935
[2023-11-28 02:50:09] Epoch 401/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.269112
[2023-11-28 02:50:57] Epoch 402/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.280205
[2023-11-28 02:51:45] Epoch 403/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.739365
[2023-11-28 02:52:33] Epoch 404/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.000641
[2023-11-28 02:53:20] Epoch 405/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.141628
[2023-11-28 02:54:08] Epoch 406/500 | Discriminator Loss: 0.000001 | Generator Loss: 50.474922
[2023-11-28 02:54:56] Epoch 407/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.367325
[2023-11-28 02:55:43] Epoch 408/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.886139
[2023-11-28 02:56:31] Epoch 409/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.963039
[2023-11-28 02:57:18] Epoch 410/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.634521
[2023-11-28 02:58:07] Epoch 411/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.747261
[2023-11-28 02:58:55] Epoch 412/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.025589
[2023-11-28 02:59:44] Epoch 413/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.922585
[2023-11-28 03:00:32] Epoch 414/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.391018
[2023-11-28 03:01:20] Epoch 415/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.990494
[2023-11-28 03:02:07] Epoch 416/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.166588
[2023-11-28 03:02:55] Epoch 417/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.984829
[2023-11-28 03:03:42] Epoch 418/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.817944
[2023-11-28 03:04:30] Epoch 419/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.972649
[2023-11-28 03:05:18] Epoch 420/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.813614
[2023-11-28 03:06:06] Epoch 421/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.421356
[2023-11-28 03:06:54] Epoch 422/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.683037
[2023-11-28 03:07:42] Epoch 423/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.280617
[2023-11-28 03:08:30] Epoch 424/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.877411
[2023-11-28 03:09:17] Epoch 425/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.544006
[2023-11-28 03:10:05] Epoch 426/500 | Discriminator Loss: 0.000001 | Generator Loss: 52.162521
[2023-11-28 03:10:52] Epoch 427/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.864609
[2023-11-28 03:11:40] Epoch 428/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.030079
[2023-11-28 03:12:28] Epoch 429/500 | Discriminator Loss: 0.000000 | Generator Loss: 51.404221
[2023-11-28 03:13:16] Epoch 430/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.167084
[2023-11-28 03:14:03] Epoch 431/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.369614
[2023-11-28 03:14:51] Epoch 432/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.103046
[2023-11-28 03:15:38] Epoch 433/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.473282
[2023-11-28 03:16:26] Epoch 434/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.788475
[2023-11-28 03:17:14] Epoch 435/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.469936
[2023-11-28 03:18:02] Epoch 436/500 | Discriminator Loss: 0.000000 | Generator Loss: 47.847908
[2023-11-28 03:18:50] Epoch 437/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.751129
[2023-11-28 03:19:37] Epoch 438/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.475449
[2023-11-28 03:20:25] Epoch 439/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.591839
[2023-11-28 03:21:12] Epoch 440/500 | Discriminator Loss: 0.000000 | Generator Loss: 55.228333
[2023-11-28 03:21:59] Epoch 441/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.748039
[2023-11-28 03:22:47] Epoch 442/500 | Discriminator Loss: 0.000000 | Generator Loss: 50.797157
[2023-11-28 03:23:35] Epoch 443/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.786003
[2023-11-28 03:24:23] Epoch 444/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.166470
[2023-11-28 03:25:10] Epoch 445/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.522991
[2023-11-28 03:25:58] Epoch 446/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.882034
[2023-11-28 03:26:46] Epoch 447/500 | Discriminator Loss: 0.000000 | Generator Loss: 48.070080
[2023-11-28 03:27:34] Epoch 448/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.207870
[2023-11-28 03:28:21] Epoch 449/500 | Discriminator Loss: 0.000000 | Generator Loss: 56.395020
